Unnamed: 0,Target,Stance,ID,User_ID
0,Donald Trump,AGAINST,990425431588462592,77005384
1,Donald Trump,AGAINST,980116016855306240,19601528
2,Donald Trump,AGAINST,1273459310920642560,509133736
3,Donald Trump,AGAINST,1261777641410973696,294328909
4,Donald Trump,AGAINST,1262528051553894400,1114680713020944384
5,Donald Trump,AGAINST,1144697431679881216,798374220182921217
6,Donald Trump,AGAINST,1002233176591360000,967531449833414656
7,Donald Trump,AGAINST,1249842579148959744,20933985
8,Donald Trump,AGAINST,1251171768083103744,797103046824226816
9,Donald Trump,AGAINST,990054132626149376,915061956771532800
10,Donald Trump,AGAINST,1012427431959908352,933110040491204609
11,Donald Trump,AGAINST,1167114300831490048,45259327
12,Donald Trump,AGAINST,1057662233897926656,603178274
13,Donald Trump,AGAINST,1260439788345331712,24469034
14,Donald Trump,AGAINST,1023982690670964736,3018109789
15,Donald Trump,AGAINST,1035167422041518080,3353679670
16,Donald Trump,AGAINST,1178424072587431936,2804009916
17,Donald Trump,AGAINST,1145112039305568256,1096551533213245440
18,Donald Trump,AGAINST,1273028369018478592,1255216516083208193
19,Donald Trump,AGAINST,1178497419413053440,22275722
20,Donald Trump,AGAINST,1270012608897302528,1052555857643405313
21,Donald Trump,AGAINST,1249792953683501056,24269675
22,Donald Trump,AGAINST,1199714675635580928,31431858
23,Donald Trump,AGAINST,1068572539159568384,16285699
24,Donald Trump,AGAINST,1035363864773386240,2453704067
25,Donald Trump,AGAINST,1145009287464402944,1013180421432016898
26,Donald Trump,AGAINST,1189390521271115776,277016292
27,Donald Trump,AGAINST,1199817388599980032,3165888567
28,Donald Trump,AGAINST,1145032829455065088,705125739033530368
29,Donald Trump,AGAINST,1057013127949230080,264192601
30,Donald Trump,AGAINST,958445936161599488,97780463
31,Donald Trump,AGAINST,1251207732801257472,348602168
32,Donald Trump,AGAINST,1211774801825562624,69068417
33,Donald Trump,AGAINST,1223241296728342528,168919083
34,Donald Trump,AGAINST,1272290766342303744,1238199487430082560
35,Donald Trump,AGAINST,1079382076921499648,1404971276
36,Donald Trump,AGAINST,1178480446285336576,182267232
37,Donald Trump,AGAINST,1112353432076058624,175155481
38,Donald Trump,AGAINST,1024081499493216256,53447671
39,Donald Trump,AGAINST,1166858005280886784,2283877843
40,Donald Trump,AGAINST,1122865392567889920,2706736802
41,Donald Trump,AGAINST,1101262640930803712,874006150399877120
42,Donald Trump,AGAINST,1144931852509044736,363259494
43,Donald Trump,AGAINST,1090576172117823488,125730512
44,Donald Trump,AGAINST,1261263072787750912,157441341
45,Donald Trump,AGAINST,1272457624315850752,754592746405449728
46,Donald Trump,AGAINST,1269852649383432192,3782648474
47,Donald Trump,AGAINST,979730123757727744,21211349
48,Donald Trump,AGAINST,1090432936883699712,71599731
49,Donald Trump,AGAINST,1079374005528875008,817850918330912770
50,Donald Trump,AGAINST,1068630563823611904,17195746
51,Donald Trump,AGAINST,1167450235083399168,1342854708
52,Donald Trump,AGAINST,1068562973394788352,826072610991542272
53,Donald Trump,AGAINST,1145371662126202880,1108007652838305794
54,Donald Trump,AGAINST,1035318120708075520,4193229012
55,Donald Trump,AGAINST,1222532257015005184,445956775
56,Donald Trump,AGAINST,1178495201578381312,741286249550356482
57,Donald Trump,FAVOR,968963923478183936,17150022
58,Donald Trump,AGAINST,1200281020290883584,343535198
59,Donald Trump,FAVOR,1012848881976000512,29864168
60,Donald Trump,AGAINST,1068489974490779648,1455506612
61,Donald Trump,AGAINST,1134080947262042112,23233038
62,Donald Trump,AGAINST,1187878763171856384,800123408230948864
63,Donald Trump,AGAINST,1079750554618916864,705577266680614912
64,Donald Trump,FAVOR,1062473410473652224,2737579165
65,Donald Trump,AGAINST,1111349114426392576,14368326
66,Donald Trump,NONE,1090989545875755008,467966784
67,Donald Trump,AGAINST,1024182370545610752,855734425
68,Donald Trump,AGAINST,1101091783084265472,274801747
69,Donald Trump,AGAINST,1178082899670818816,26398104
70,Donald Trump,FAVOR,1024308832913084416,190848689
71,Donald Trump,AGAINST,1002323098413293568,2940269824
72,Donald Trump,AGAINST,1145212661824704512,29592824
73,Donald Trump,AGAINST,1222980830785466368,39363347
74,Donald Trump,AGAINST,1120279354800521216,16110770
75,Donald Trump,AGAINST,1111638174344699904,16029629
76,Donald Trump,AGAINST,1144385045861302272,835350386798026756
77,Donald Trump,AGAINST,1187722672031125504,1455506612
78,Donald Trump,FAVOR,988259504532873216,39294154
79,Donald Trump,AGAINST,1252778707514617856,768097184549965824
80,Donald Trump,AGAINST,1035330573605253120,825084934113079296
81,Donald Trump,AGAINST,1068593746965487616,99645123
82,Donald Trump,AGAINST,1243567719871627264,4491531140
83,Donald Trump,AGAINST,1001968231186358272,136655165
84,Donald Trump,AGAINST,1063263861443301376,557795273
85,Donald Trump,AGAINST,1198663459669307392,16711026
86,Donald Trump,AGAINST,1246399013009547264,822518858242134016
87,Donald Trump,AGAINST,990642251255644160,181073069
88,Donald Trump,AGAINST,1035585010063929344,24645871
89,Donald Trump,AGAINST,968880932978540544,131074139
90,Donald Trump,AGAINST,1156062811425923072,982177093
91,Donald Trump,NONE,1068602461580140544,4779955689
92,Donald Trump,NONE,1108045989250768896,3401061634
93,Donald Trump,AGAINST,1240041243549110272,2816473808
94,Donald Trump,FAVOR,1086255604581220352,25368960
95,Donald Trump,AGAINST,1012802280700170240,753646546290257920
96,Donald Trump,NONE,958810166132203520,929350720888999937
97,Donald Trump,AGAINST,1112058176592072704,2830954478
98,Donald Trump,AGAINST,958822603166121984,569602872
99,Donald Trump,AGAINST,1198034139900891136,1170523762812313601
100,Donald Trump,FAVOR,1024290331003637760,898442239
101,Donald Trump,AGAINST,1000049374880190464,907713927970254848
102,Donald Trump,AGAINST,989510292622200832,23886028
103,Donald Trump,AGAINST,1087522134732156928,952676632677896194
104,Donald Trump,AGAINST,958518928912809984,824038542502494208
105,Donald Trump,AGAINST,1257049169119768576,291851312
106,Donald Trump,AGAINST,1177605517893603328,277066926
107,Donald Trump,FAVOR,1089464518319767552,56569304
108,Donald Trump,FAVOR,1032851661956337664,49275461
109,Donald Trump,FAVOR,1164225512136466432,123016161
110,Donald Trump,AGAINST,1153345597165846528,854004151855927296
