Unnamed: 0,Target,Stance,ID,User_ID
0,Joe Biden,FAVOR,1259911586891722752,2980270696
1,Joe Biden,FAVOR,1186003692408975360,907449053155340288
2,Joe Biden,FAVOR,1263176853050851328,58946057
3,Joe Biden,FAVOR,1181719091859611648,24880446
4,Joe Biden,FAVOR,1198397354962903040,1143600610450690048
5,Joe Biden,FAVOR,1257046843013296128,67169191
6,Joe Biden,FAVOR,1106355789189439488,1665051924
7,Joe Biden,FAVOR,1264745679236157440,594280345
8,Joe Biden,FAVOR,1183443827714998272,992117141477339136
9,Joe Biden,FAVOR,1190433179280252928,2339763739
10,Joe Biden,FAVOR,1242997543904018432,617619927
11,Joe Biden,FAVOR,1197272921552474112,992117141477339136
12,Joe Biden,AGAINST,1129851773844221952,24972394
13,Joe Biden,FAVOR,1197626068867436544,2474617531
14,Joe Biden,FAVOR,1268695667456774144,259873064
15,Joe Biden,FAVOR,1269149390750572544,1181341904765628416
16,Joe Biden,FAVOR,1202783126935785472,2312854684
17,Joe Biden,NONE,1176246961286107136,241892402
18,Joe Biden,NONE,1175527270909239296,3376869041
19,Joe Biden,FAVOR,1111083724429508608,580336633
20,Joe Biden,FAVOR,1251690247202779136,1250920444867346432
21,Joe Biden,NONE,1004935463759761408,799166929508466688
22,Joe Biden,NONE,1034244929365704704,31487864
23,Joe Biden,FAVOR,1153387783412690944,2339763739
24,Joe Biden,FAVOR,1247925242334453760,208320903
25,Joe Biden,FAVOR,991263916188725248,218851096
26,Joe Biden,FAVOR,977295269464330240,38442478
27,Joe Biden,FAVOR,1262301166676750336,409824643
28,Joe Biden,FAVOR,1170393080907698176,1150925660501577728
29,Joe Biden,FAVOR,959163629814894592,545781058
30,Joe Biden,NONE,1051229317294886912,54725855
31,Joe Biden,FAVOR,1256963167810437120,1121675987953934336
32,Joe Biden,FAVOR,1149148592759877632,737196433535860736
33,Joe Biden,FAVOR,1156557146886160384,54783394
34,Joe Biden,FAVOR,1197431465459568640,59565920
35,Joe Biden,FAVOR,1148979333010079744,3291571357
36,Joe Biden,FAVOR,1239358256729821184,614872490
37,Joe Biden,FAVOR,1113633121084235776,34853664
38,Joe Biden,FAVOR,1157019713014325248,2339763739
39,Joe Biden,NONE,1261333864993026048,2381441971
40,Joe Biden,FAVOR,1207880748465901568,22092306
41,Joe Biden,NONE,948313152290041856,25566593
42,Joe Biden,FAVOR,1149923650788888576,1423707932
43,Joe Biden,FAVOR,1196174144947113984,53466720
44,Joe Biden,FAVOR,1250901520716972032,1523891821
45,Joe Biden,FAVOR,1187012688716718080,1649395076
46,Joe Biden,FAVOR,1211078156045570048,1173647180260757505
47,Joe Biden,FAVOR,1169420067760508928,1141928541656952832
48,Joe Biden,FAVOR,1137884105868173312,2431355815
49,Joe Biden,NONE,966661430526337024,770253189643927552
50,Joe Biden,FAVOR,1144443552237158400,2381441971
51,Joe Biden,FAVOR,1152398981093371904,921976612521955328
52,Joe Biden,FAVOR,1170776499059863552,727840825661661184
